ZipCode,GeoID_Label,Households_Estimate,MHI_Estimate
12065,ZCTA5 12065,17591,86892
12066,ZCTA5 12066,771,62284
12067,ZCTA5 12067,598,75909
12068,ZCTA5 12068,1224,58673
12069,ZCTA5 12069,73,38984
12070,ZCTA5 12070,629,65433
12071,ZCTA5 12071,125,52375
12072,ZCTA5 12072,933,50156
12074,ZCTA5 12074,1223,71314
12075,ZCTA5 12075,1125,61922
12076,ZCTA5 12076,626,57778
12077,ZCTA5 12077,2489,98716
12078,ZCTA5 12078,10011,40692
12083,ZCTA5 12083,1438,72035
12084,ZCTA5 12084,2052,64868
12085,ZCTA5 12085,140,43710
12086,ZCTA5 12086,714,57727
12087,ZCTA5 12087,335,73720
12089,ZCTA5 12089,66,94904
12090,ZCTA5 12090,2482,49444
12092,ZCTA5 12092,342,32692
12093,ZCTA5 12093,674,51316
12094,ZCTA5 12094,915,81850
12095,ZCTA5 12095,4872,51022
12106,ZCTA5 12106,1095,74688
12108,ZCTA5 12108,108,66667
12110,ZCTA5 12110,7618,76652
12115,ZCTA5 12115,72,85682
12116,ZCTA5 12116,822,50278
12117,ZCTA5 12117,1412,55417
12118,ZCTA5 12118,6465,70042
12120,ZCTA5 12120,239,49732
12121,ZCTA5 12121,610,79817
12122,ZCTA5 12122,2061,45188
12123,ZCTA5 12123,2195,82478
12124,ZCTA5 12124,249,98220
12125,ZCTA5 12125,612,54015
12130,ZCTA5 12130,308,-
12131,ZCTA5 12131,39,53750
12132,ZCTA5 12132,127,49395
12134,ZCTA5 12134,1476,53269
12136,ZCTA5 12136,346,102829
12137,ZCTA5 12137,687,64213
12138,ZCTA5 12138,1357,58036
12139,ZCTA5 12139,59,57750
12140,ZCTA5 12140,631,94226
12143,ZCTA5 12143,2008,55179
12144,ZCTA5 12144,8918,65591
12147,ZCTA5 12147,231,69375
12148,ZCTA5 12148,1870,107302
12149,ZCTA5 12149,967,51417
12150,ZCTA5 12150,286,66944
12151,ZCTA5 12151,325,83681
12153,ZCTA5 12153,357,78942
12154,ZCTA5 12154,1059,65890
12155,ZCTA5 12155,731,49250
12156,ZCTA5 12156,385,68393
12157,ZCTA5 12157,1628,59500
12158,ZCTA5 12158,2601,85458
12159,ZCTA5 12159,3291,86991
12160,ZCTA5 12160,346,66667
12161,ZCTA5 12161,82,78750
12164,ZCTA5 12164,57,65625
12165,ZCTA5 12165,79,-
12166,ZCTA5 12166,545,44659
12167,ZCTA5 12167,1167,45650
12168,ZCTA5 12168,929,63576
12169,ZCTA5 12169,107,95673
12170,ZCTA5 12170,1878,66231
12172,ZCTA5 12172,108,46176
12173,ZCTA5 12173,760,80238
12174,ZCTA5 12174,110,-
12175,ZCTA5 12175,210,50694
12176,ZCTA5 12176,135,75846
12177,ZCTA5 12177,242,58269
12180,ZCTA5 12180,21529,50669
12182,ZCTA5 12182,6206,45281
12183,ZCTA5 12183,1206,49875
12184,ZCTA5 12184,2566,76250
12185,ZCTA5 12185,789,78472
12186,ZCTA5 12186,2471,92852
12187,ZCTA5 12187,199,49732
12188,ZCTA5 12188,4726,65991
12189,ZCTA5 12189,7952,52363
12190,ZCTA5 12190,190,53125
12192,ZCTA5 12192,709,83533
12193,ZCTA5 12193,725,77396
12194,ZCTA5 12194,64,45500
12195,ZCTA5 12195,92,19359
12196,ZCTA5 12196,1211,91699
12197,ZCTA5 12197,886,45488
12198,ZCTA5 12198,2976,82864
12202,ZCTA5 12202,4172,28857
12203,ZCTA5 12203,13576,55817
12204,ZCTA5 12204,3666,50721
12205,ZCTA5 12205,11158,64107
12206,ZCTA5 12206,6147,31812
12207,ZCTA5 12207,915,12396
12208,ZCTA5 12208,9760,60430
12209,ZCTA5 12209,4130,49853
12210,ZCTA5 12210,5192,46712
12211,ZCTA5 12211,4284,100357
12222,ZCTA5 12222,0,-
12302,ZCTA5 12302,10057,74199
12303,ZCTA5 12303,10369,61916
12304,ZCTA5 12304,8311,48750
12305,ZCTA5 12305,2232,30625
12306,ZCTA5 12306,9015,62977
12307,ZCTA5 12307,1922,22394
12308,ZCTA5 12308,4997,48337
12309,ZCTA5 12309,10356,101594
12401,ZCTA5 12401,14466,51016
12404,ZCTA5 12404,1509,60625
12405,ZCTA5 12405,168,48750
12406,ZCTA5 12406,457,42153
12407,ZCTA5 12407,95,37031
12409,ZCTA5 12409,313,88906
12410,ZCTA5 12410,256,58000
12411,ZCTA5 12411,130,84474
12412,ZCTA5 12412,259,65676
12413,ZCTA5 12413,1038,38333
12414,ZCTA5 12414,3919,41264
12416,ZCTA5 12416,56,25769
12417,ZCTA5 12417,172,79063
12418,ZCTA5 12418,108,72727
12419,ZCTA5 12419,277,51563
12420,ZCTA5 12420,142,100938
